GASVISION_FILEVERSION;4;7.0.1;;;;;;;;;;;;;;;;;;;
DECIMALSEPARATOR;,;;;;;;;;;;;;;;;;;;;;
DATESEPARATOR;.;;;;;;;;;;;;;;;;;;;;
SHORTDATEforMAT;dd/MM/yyyy;;;;;;;;;;;;;;;;;;;;
TIMESEPARATOR;:;;;;;;;;;;;;;;;;;;;;
TIMEAMSTRING;;;;;;;;;;;;;;;;;;;;;
TIMEPMSTRING;;;;;;;;;;;;;;;;;;;;;
LONGTIMEforMAT;hh:mm:ss;;;;;;;;;;;;;;;;;;;;
SESSION_HEADER;Online;1;11.07.2017;11:48:37;13.07.2017;20:52:36;Polytron;7000;ARYE0794;8.0;;;;;;;;;;;
GASTYPE;H2O2;;;;;;;;;;;;;;;;;;;;
UNITNAME;ppm;;;;;;;;;;;;;;;;;;;;
GAS_A1;1;;;;;;;;;;;;;;;;;;;;
GAS_A2;2;;;;;;;;;;;;;;;;;;;;
RANGE;300;;;;;;;;;;;;;;;;;;;;
SERIALNO;ARCJ0042;;;;;;;;;;;;;;;;;;;;
PARTNO;6809705;;;;;;;;;;;;;;;;;;;;
CALDATE;03.04.2017;;;;;;;;;;;;;;;;;;;;
SENSORTYPE;EC;;;;;;;;;;;;;;;;;;;;
EVE;11.07.2017;11:48:36;Clear;Datalogger(3,255);;;;;;;;;;;;;;;;;
EVE;11.07.2017;11:48:37;Device-warning-status;changed(3,255:;0;0;0;0;0;0;0;0;0;0;0;00);;;;;
EVE;11.07.2017;11:48:38;Device-warning-status;changed(3,255:;1;0;0;0;0;0;0;0;0;0;0;00);;;;;
EVE;11.07.2017;11:48:39;Device-warning-status;changed(3,255:;0;0;0;0;0;0;0;0;0;0;0;00);;;;;
EVE;11.07.2017;11:48:40;Device-warning-status;changed(3,255:;1;0;0;0;0;0;0;0;0;0;0;00);;;;;
VAL;11.07.2017;11:49:37;0,099;;;;;;;;;;;;;;;;;;
VAL;11.07.2017;11:50:37;0,099;;;;;;;;;;;;;;;;;;
EVE;11.07.2017;11:51:36;Sensor;plugged(1,0);;;;;;;;;;;;;;;;;
EVE;11.07.2017;11:51:36;Device-warning-status;changed(3,255:;1;0;0;0;0;0;0;0;0;0;0;00);;;;;
EVE;11.07.2017;11:51:37;Device-warning-status;changed(3,255:;0;0;0;0;0;0;0;0;0;0;0;00);;;;;
EVE;11.07.2017;11:51:38;Device-warning-status;changed(3,255:;1;0;0;0;0;0;0;0;0;0;0;00);;;;;
EVE;11.07.2017;11:51:40;Sensor-Warning;status;changed(3,0:;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;00)
EVE;11.07.2017;11:51:52;Predictive;Maintenance;:;Sensor;Replace;Sensor;Soon(1,255);;;;;;;;;;;;
