GASVISION_FILEVERSION;4;apr.50;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
MEMO;;;;;;;;;;;;;;;;;;;;;
DECIMALSEPARATOR;,;;;;;;;;;;;;;;;;;;;;
DATESEPARATOR;.;;;;;;;;;;;;;;;;;;;;
SHORTDATEFORMAT;dd/MM/yyyy;;;;;;;;;;;;;;;;;;;;
TIMESEPARATOR;:;;;;;;;;;;;;;;;;;;;;
TIMEAMSTRING;;;;;;;;;;;;;;;;;;;;;
TIMEPMSTRING;;;;;;;;;;;;;;;;;;;;;
LONGTIMEFORMAT;hh:mm:ss;;;;;;;;;;;;;;;;;;;;
SESSION_HEADER;Avg.;60;03.10.2018;10:53:24;03.10.2018;18:56:51;Polytron;7000;ARBC0143;8.0;0;;;;;;;;;;
GASTYPE;H2O2;;;;;;;;;;;;;;;;;;;;
UNITNAME;ppm;;;;;;;;;;;;;;;;;;;;
GAS_A1;1;;;;;;;;;;;;;;;;;;;;
GAS_A2;2;;;;;;;;;;;;;;;;;;;;
RANGE;300;;;;;;;;;;;;;;;;;;;;
SERIALNO;ARCJ0042;;;;;;;;;;;;;;;;;;;;
PARTNO;6809705;;;;;;;;;;;;;;;;;;;;
CALDATE;03.04.2017;;;;;;;;;;;;;;;;;;;;
SENSORTYPE;EC;;;;;;;;;;;;;;;;;;;;
EVE;03.10.2018;10:53:24;Clear;Datalogger(3,255);;;;;;;;;;;;;;;;;
EVE;03.10.2018;10:53:24;Device-warning-status;changed(3,255:;0;0;0;0;0;0;0;0;0;0;0;00);;;;;
EVE;03.10.2018;10:53:25;Device-warning-status;changed(3,255:;1;0;0;0;0;0;0;0;0;0;0;00);;;;;
EVE;03.10.2018;10:53:26;Device-warning-status;changed(3,255:;0;0;0;0;0;0;0;0;0;0;0;00);;;;;
EVE;03.10.2018;10:53:27;Device-warning-status;changed(3,255:;1;0;0;0;0;0;0;0;0;0;0;00);;;;;
VAL;03.10.2018;10:54:24;2,094;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;10:55:24;2,099;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;10:56:24;2,181;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;10:57:24;2,199;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;10:58:24;2,199;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;10:59:24;2,199;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:00:24;2,213;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:01:24;2,3;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:02:24;2,325;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:03:24;2,346;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:04:24;2,4;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:05:24;2,508;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:06:24;2,611;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:07:24;2,706;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:08:24;2,8;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:09:24;2,896;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:10:24;2,943;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:11:24;3,065;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:12:24;3,146;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:13:24;3,731;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:14:24;6,266;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:15:24;11,62;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:16:24;19,53;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:17:24;26,45;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:18:24;31,35;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:19:24;36,05;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:20:24;41,61;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:21:24;46,5;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:22:24;50,75;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:23:24;54,05;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:24:24;57,3;;;;;;;;;;;;;;;;;;
VAL;03.10.2018;11:25:24;59,6;;;;;;;;;;;;;;;;;;
